product_id,trial_number,pricing_strategy,conversion_rate,avg_transaction_value
1,1,standard,0.21964691855978616,74.61481274181816
1,2,standard,0.17861393349503796,68.50374434773337
1,3,standard,0.17268514535642032,70.15176144774576
1,1,discount_10,0.20513147690828912,86.48867075735978
1,2,discount_10,0.2219468969785563,65.79471360332474
1,3,discount_10,0.1923106460124461,94.04642534605163
1,1,premium,0.24807641983846154,82.0382106767071
1,2,premium,0.2184829738584863,85.82545999031173
1,3,premium,0.1980931901484361,88.87092085596645
2,1,standard,0.18921175181941505,79.7900017569809
2,2,standard,0.18431780161508693,97.38975658904053
2,3,standard,0.22290497073840415,82.66788727926838
2,1,discount_10,0.19385722446796244,92.12884306286884
2,2,discount_10,0.15596778966095684,82.61065140691298
2,3,discount_10,0.18980442553304314,88.49049264909908
2,1,premium,0.22379954057320356,88.35595204189553
2,2,premium,0.16824917304535,87.99963927346637
2,3,premium,0.16754517561474924,73.30830580454897
3,1,standard,0.20315513738418384,90.23050924656928
3,2,standard,0.2031827587096866,81.17251613080485
3,3,standard,0.2134400958551321,92.56585636587901
3,1,discount_10,0.23494317940777895,59.17007866705235
3,2,discount_10,0.22244553248606352,67.41860533534059
3,3,discount_10,0.2111023510677583,89.36134674562034
3,1,premium,0.22224433825702217,107.35513102126274
3,2,premium,0.18229589138531782,95.02070496173484
3,3,premium,0.1861788655622314,76.81058878960023
4,1,standard,0.17282632308789556,64.69537101546453
4,2,standard,0.17937140463888293,93.91223465393942
4,3,standard,0.21309761238544878,84.03300133548458
4,1,discount_10,0.1592104939945075,92.08845061473262
4,2,discount_10,0.19337011726795283,86.38358466652949
4,3,discount_10,0.19308627633296438,85.35571510144594
4,1,premium,0.19936850976503062,120.50350535071811
4,2,premium,0.1925830290295828,84.92644046745305
4,3,premium,0.18122612229724652,83.08905748896082
5,1,standard,0.19263513069628083,83.54261589515174
5,2,standard,0.23933891631171347,77.99755939950812
5,3,standard,0.24441600182038797,96.88159473658375
5,1,discount_10,0.20018366758843364,80.7549479946238
